date,region,revenue,operational_cost,customer_acquisition_cost,new_customers,product_category
2025-01-15,North America,1500000,1033000,150,250,Software
2025-02-15,North America,1600000,1066000,140,280,Software
2025-03-15,North America,1400000,1000000,160,220,Software
2025-04-15,North America,1700000,1100000,135,310,Software
2025-05-15,North America,1800000,1100000,130,340,Software
2025-06-15,North America,1300000,1000000,170,190,Software
2025-07-15,North America,1200000,1200000,210,150,Software
2025-08-15,North America,1100000,1250000,220,130,Software
2025-09-15,North America,1800000,950000,120,380,Software
2025-10-15,North America,1900000,1100000,115,400,Software
2025-11-15,North America,1750000,1050000,125,360,Software
2025-12-15,North America,1550000,1150000,145,260,Software
2025-01-15,Europe,1000000,800000,180,180,Hardware
2025-02-15,Europe,1100000,820000,170,200,Hardware
2025-03-15,Europe,1100000,880000,175,200,Hardware
2025-04-15,Europe,1200000,850000,160,220,Hardware
2025-05-15,Europe,1200000,880000,165,220,Hardware
2025-06-15,Europe,1100000,770000,180,170,Hardware
2025-07-15,Europe,900000,900000,240,110,Hardware
2025-08-15,Europe,800000,950000,260,95,Hardware
2025-09-15,Europe,1200000,750000,150,260,Hardware
2025-10-15,Europe,1300000,850000,145,300,Hardware
2025-11-15,Europe,1300000,850000,145,300,Hardware
2025-12-15,Europe,1200000,800000,155,240,Hardware
2025-01-15,Asia Pacific,700000,500000,95,450,Consulting
2025-02-15,Asia Pacific,750000,520000,90,480,Consulting
2025-03-15,Asia Pacific,650000,480000,105,400,Consulting
2025-04-15,Asia Pacific,800000,550000,85,530,Consulting
2025-05-15,Asia Pacific,750000,530000,90,480,Consulting
2025-06-15,Asia Pacific,750000,540000,90,480,Consulting
2025-07-15,Asia Pacific,800000,570000,85,530,Consulting
2025-08-15,Asia Pacific,850000,600000,80,590,Consulting
2025-09-15,Asia Pacific,900000,580000,75,650,Consulting
2025-10-15,Asia Pacific,1000000,650000,70,750,Consulting
2025-11-15,Asia Pacific,1000000,650000,70,750,Consulting
2025-12-15,Asia Pacific,1000000,630000,70,750,Consulting
2025-01-15,Latin America,400000,310000,120,120,Software
2025-02-15,Latin America,420000,320000,115,130,Software
2025-03-15,Latin America,380000,300000,125,100,Software
2025-04-15,Latin America,430000,330000,110,140,Software
2025-05-15,Latin America,450000,340000,105,160,Software
2025-06-15,Latin America,420000,320000,115,130,Software
2025-07-15,Latin America,360000,350000,140,80,Software
2025-08-15,Latin America,320000,350000,150,70,Software
2025-09-15,Latin America,420000,310000,115,130,Software
2025-10-15,Latin America,500000,350000,95,200,Software
2025-11-15,Latin America,500000,350000,95,200,Software
2025-12-15,Latin America,500000,340000,95,200,Software
